Leverandoer;Lev.Art.nr;Merke;Modell;Varebeskrivelse;Varegruppe;Undergruppe;MVA-klasse;Nettopris;Utsalgspris;DG;Veil. Pris eks. Mva;Mva;DB;Produsent
Morgan;230359;;Morgan W 310 SE OM - N;;Gitar;;25 %;;4995;80;3996;999;3996;Morgan
Morgan;230353;;Morgan W 310 SE OM/Folk - N;;Gitar;;25 %;;4995;80;3996;999;3996;Morgan
Morgan;230383;;Morgan W 310 SE MJ - DVB;;Gitar;;25 %;;5995;80;4796;1199;4796;Morgan
Morgan;230354;;Morgan W 310 SE MJ - N;;Gitar;;25 %;;5995;80;4796;1199;4796;Morgan
Morgan;230382;;Morgan W 310 SCE GA w/Armrest - N;;Gitar;;25 %;;7495;80;5996;1499;5996;Morgan
Morgan;230399;;Morgan W 310 SE Baritone - VSB;;Gitar;;25 %;;6495;80;5196;1299;5196;Morgan
Morgan;230363;;Morgan W 310 SE Baritone - N;;Gitar;;25 %;;6495;80;5196;1299;5196;Morgan
Morgan;84374;;Morgan W 310 SCE 8STR - N;;Gitar;;25 %;;4995;80;3996;999;3996;Morgan
;83330;;LTD ST-213 FR M - BK;;Gitar;;25 %;;5490;#REF!;4392;1098;#REF!;ESP
Morgan;83331;;LTD ST-213 M - CAR;;Gitar;;25 %;;4890;#REF!;3912;978;#REF!;ESP
Morgan;83332;;LTD ST-213 M - OW;;Gitar;;25 %;;4890;#REF!;3912;978;#REF!;ESP
Morgan;83333;;LTD ST-213 R - 3TS;;Gitar;;25 %;;4890;#REF!;3912;978;#REF!;ESP
Morgan;83334;;LTD TE-212 M - BK;;Gitar;;25 %;;4890;#REF!;3912;978;#REF!;ESP
Morgan;83301;;LTD F-50 - BK;;Gitar;;25 %;;4495;#REF!;3596;899;#REF!;ESP
Morgan;83300;;LTD EX-50 - BK;;Gitar;;25 %;;4495;#REF!;3596;899;#REF!;ESP
Morgan;83302;;LTD EC-331 - SW;;Gitar;;25 %;;6495;#REF!;5196;1299;#REF!;ESP
Morgan;83303;;LTD EC-331 - BKS;;Gitar;;25 %;;6495;#REF!;5196;1299;#REF!;ESP
Morgan;83329;;LTD EC-256 - MGO;;Gitar;;25 %;;5995;#REF!;4796;1199;#REF!;ESP
Morgan;83328;;LTD EC-256 - BK;;Gitar;;25 %;;5995;#REF!;4796;1199;#REF!;ESP
Morgan;83380;;LTD EC-200 - TSB;;Gitar;;25 %;;5995;#REF!;4796;1199;#REF!;ESP
Morgan;83426;;LTD EC-200 - BKS;;Gitar;;25 %;;5995;#REF!;4796;1199;#REF!;ESP
Morgan;83323;;LTD EX-104 - BK;;Bass;;25 %;;4890;#REF!;3912;978;#REF!;ESP
Morgan;83316;;LTD F-104 - BK;;Bass;;25 %;;4890;80;3912;978;3912;ESP
Morgan;83335;;LTD J-204 - 3TB;;Bass;;25 %;;4995;80;3996;999;3996;ESP
Polysonic;140492;;Casio PX-160 BK - Digitalpiano;;Tangenter;;25 %;3375;5995;23,7030859;4796;1199;1421;Casio
Polysonic;140089;;Casio CS-67 BK - Stativ til PX-130/135/150/330/350;;Tangenter;;25 %;557;995;24,0201005;796;199;239;Casio
Polysonic;140100;;Casio SP-33 BK - Pedalsett til PX-150/350;;Tangenter;;25 %;389;695;24,02877698;556;139;167;Casio
Polysonic;140079;;Casio CDP-130 BK - Digitalpiano;;Tangenter;;25 %;2397;3995;20;3196;799;799;Casio
Polysonic;140085;;Casio CS-44 BK - Stativ til CDP-130/230R;;Tangenter;;25 %;335;600;24,16666667;480;120;145;Casio
Polysonic;140465;;Casio PX-5S - Stagepiano;;Tangenter;;25 %;5317;9495;24,00210637;7596;1899;2279;Casio
Polysonic;140113;;Casio CTK-1200 - Keyboard;;Tangenter;;25 %;700;1250;24;1000;250;300;Casio
Polysonic;140121;;Casio CTK-3200 - Keyboard;;Tangenter;;25 %;1061;1895;24,01055409;1516;379;455;Casio
Polysonic;140123;;Casio CTK-4400 - Keyboard;;Tangenter;;25 %;1453;2495;21,76352705;1996;499;543;Casio
Polysonic;140127;;Casio CTK-6250 - Keyboard;;Tangenter;;25 %;1957;3495;24,00572246;2796;699;839;Casio
Polysonic;140200;;Casio MZ-X300 - Arrange Keyboard;;Tangenter;;25 %;4477;7995;24,00250156;6396;1599;1919;Casio
Polysonic;140210;;Casio MZ-X500 - Arrange Keyboard;;Tangenter;;25 %;5597;9995;24,002001;7996;1999;2399;Casio
Polysonic;140252;;Casio XW-G1 - Synth;;Tangenter;;25 %;3077;5495;24,00363967;4396;1099;1319;Casio
;;;;;Tangenter;;25 %;;;;;;;
;;;;;;;25 %;;;;;;;
